Title,Salary,Available In Stock,Category
Unicorn Tracks,£18.78,16,fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,16,fantasy
Princess Between Worlds (Wide-Awake Princess #5),£13.34,16,fantasy
Masks and Shadows,£56.40,16,fantasy
Crown of Midnight (Throne of Glass #2),£43.29,16,fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,16,fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,16,fantasy
Throne of Glass (Throne of Glass #1),£35.07,15,fantasy
The Glittering Court (The Glittering Court #1),£44.28,15,fantasy
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,15,fantasy
The Star-Touched Queen,£46.02,14,fantasy
The Hidden Oracle (The Trials of Apollo #1),£52.26,14,fantasy
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,14,fantasy
Island of Dragons (Unwanteds #7),£29.65,14,fantasy
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),£37.51,14,fantasy
City of Glass (The Mortal Instruments #3),£56.02,14,fantasy
Searching for Meaning in Gailana,£38.73,13,fantasy
The Star-Touched Queen,£32.30,12,fantasy
A Shard of Ice (The Black Symphony Saga #1),£56.63,9,fantasy
King's Folly (The Kinsman Chronicles #1),£39.61,7,fantasy
Every Heart a Doorway (Every Heart A Doorway #1),£12.16,7,fantasy
A Gathering of Shadows (Shades of Magic #2),£44.81,7,fantasy
The Raven Boys (The Raven Cycle #1),£57.74,5,fantasy
The False Prince (The Ascendance Trilogy #1),£56.00,5,fantasy
Tell the Wind and Fire,£45.51,5,fantasy
A Feast for Crows (A Song of Ice and Fire #4),£17.21,5,fantasy
The Demonists (Demonist #1),£52.11,4,fantasy
The Beast (Black Dagger Brotherhood #14),£46.08,4,fantasy
Paper and Fire (The Great Library #2),£49.45,4,fantasy
Harry Potter and the Order of the Phoenix (Harry Potter #5),£31.63,4,fantasy
Harry Potter and the Half-Blood Prince (Harry Potter #6),£48.75,4,fantasy
Harry Potter and the Chamber of Secrets (Harry Potter #2),£14.74,4,fantasy
The Rose & the Dagger (The Wrath and the Dawn #2),£58.64,3,fantasy
Soldier (Talon #3),£24.72,3,fantasy
Midnight Riot (Peter Grant/ Rivers of London - books #1),£55.46,3,fantasy
Heir to the Sky,£44.07,3,fantasy
Eragon (The Inheritance Cycle #1),£43.87,3,fantasy
Darkfever (Fever #1),£56.02,3,fantasy
Ash,£22.06,3,fantasy
A Storm of Swords (A Song of Ice and Fire #3),£31.22,3,fantasy
Vampire Girl (Vampire Girl #1),£53.82,1,fantasy
The Silent Twin (Detective Jennifer Knight #3),£36.25,1,fantasy
The Mirror & the Maze (The Wrath and the Dawn #1.5),£29.38,1,fantasy
Sister Sable (The Mad Queen #1),£13.33,1,fantasy
Shadow Rites (Jane Yellowrock #10),£21.72,1,fantasy
Origins (Alphas 0.5),£28.99,1,fantasy
One Second (Seven #7),£52.94,1,fantasy
Myriad (Prentor #1),£58.75,1,fantasy
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,16,science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,16,science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,14,science
Tipping Point for Planet Earth: How Close Are We to the Edge?,£37.55,12,science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",£55.91,9,science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,£28.41,8,science
The Origin of Species,£10.01,7,science
The Grand Design,£13.76,5,science
Peak: Secrets from the New Science of Expertise,£16.28,5,science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",£13.03,3,science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",£57.35,3,science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",£25.83,3,science
Seven Brief Lessons on Physics,£30.60,3,science
The Selfish Gene,£29.45,1,science
A Light in the Attic,£51.77,22,poetry
The Black Maria,£52.15,19,poetry
Shakespeare's Sonnets,£20.66,19,poetry
Olio,£23.88,19,poetry
You can't bury them all: Poems,£33.63,17,poetry
Slow States of Collapse: Poems,£57.31,17,poetry
Untitled Collection: Sabbath Poems 2014,£14.27,16,poetry
Poems That Make Grown Women Cry,£14.19,15,poetry
Night Sky with Exit Wounds,£41.05,15,poetry
salt.,£46.78,14,poetry
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,14,poetry
Out of Print: City Lights Spotlight No. 14,£53.64,8,poetry
Les Fleurs du Mal,£29.04,8,poetry
Howl and Other Poems,£40.45,8,poetry
Leave This Song Behind: Teen Poetry at Its Best,£51.17,7,poetry
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),£15.42,6,poetry
The Crossover,£38.77,5,poetry
Booked,£17.49,5,poetry
Twenty Love Poems and a Song of Despair,£30.95,1,poetry
"Vampire Knight, Vol. 1 (Vampire Knight #1)",£15.40,1,paranormal
Wall and Piece,£44.18,18,art
Feathers: Displays of Brilliant Plumage,£49.05,14,art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,9,art
The New Drawing on the Right Side of the Brain,£43.02,8,art
History of Beauty,£10.29,8,art
The Story of Art,£41.14,7,art
The Art Book,£32.34,7,art
Ways of Seeing,£39.51,1,art
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,14,psychology
The Golden Condom: And Other Essays on Love Lost and Found,£39.43,12,psychology
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,£56.27,11,psychology
An Unquiet Mind: A Memoir of Moods and Madness,£21.30,6,psychology
"Thinking, Fast and Slow",£21.14,3,psychology
Civilization and Its Discontents,£59.95,3,psychology
8 Keys to Mental Health Through Exercise,£31.04,3,psychology
The Argonauts,£10.93,15,autobiography
M Train,£27.18,11,autobiography
Lab Girl,£40.85,11,autobiography
Approval Junkie: Adventures in Caring Too Much,£58.81,5,autobiography
Running with Scissors,£12.91,3,autobiography
Me Talk Pretty One Day,£57.60,3,autobiography
Lust & Wonder,£11.87,3,autobiography
Life Without a Recipe,£59.04,3,autobiography
A Heartbreaking Work of Staggering Genius,£54.29,3,autobiography
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,£37.35,3,parenting
The Long Haul (Diary of a Wimpy Kid #9),£44.07,14,humor
Old School (Diary of a Wimpy Kid #10),£11.83,14,humor
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,14,humor
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,14,humor
Dress Your Family in Corduroy and Denim,£43.68,9,humor
Toddlers Are A**holes: It's Not Your Fault,£25.55,7,humor
When You Are Engulfed in Flames,£30.89,3,humor
Naked,£31.69,3,humor
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",£55.50,3,humor
Holidays on Ice,£51.07,3,humor
Security,£39.25,16,horror
Follow You Home,£21.36,15,horror
The Loney,£23.40,14,horror
Pet Sematary,£10.56,14,horror
Doctor Sleep (The Shining #2),£40.12,14,horror
Psycho: Sanitarium (Psycho #1.5),£36.97,12,horror
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,12,horror
Red Dragon (Hannibal Lecter #1),£23.37,5,horror
Dracula the Un-Dead,£35.63,5,horror
Night Shift (Night Shift #1-20),£12.75,4,horror
Needful Things,£47.51,4,horror
Misery,£34.79,4,horror
It,£25.01,4,horror
'Salem's Lot,£49.56,4,horror
The Stand,£57.86,3,horror
The Girl with All the Gifts,£49.47,3,horror
House of Leaves,£54.89,3,horror
Sapiens: A Brief History of Humankind,£54.23,20,history
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",£25.52,16,history
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,16,history
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,16,history
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,15,history
Zealot: The Life and Times of Jesus of Nazareth,£24.70,14,history
A Distant Mirror: The Calamitous 14th Century,£14.58,14,history
1491: New Revelations of the Americas Before Columbus,£21.80,14,history
Brilliant Beacons: A History of the American Lighthouse,£11.45,8,history
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",£44.48,8,history
A Short History of Nearly Everything,£52.40,7,history
The Rise and Fall of the Third Reich: A History of Nazi Germany,£39.67,6,history
Catherine the Great: Portrait of a Woman,£58.55,6,history
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,£42.91,5,history
The Hiding Place,£55.91,5,history
America's War for the Greater Middle East: A Military History,£51.22,5,history
The Guns of August,£14.54,3,history
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",£43.70,3,history
The Dirty Little Secrets of Getting Your Dream Job,£33.34,19,business
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,15,business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,15,business
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,15,business
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,14,business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,£43.14,12,business
The Art of Startup Fundraising,£21.00,11,business
Born for This: How to Find the Work You Were Meant to Do,£21.59,11,business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,£36.91,8,business
"Rich Dad, Poor Dad",£51.74,7,business
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,£33.92,3,business
Rework,£44.88,3,business
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,15,biography
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",£21.15,11,biography
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,£39.55,7,biography
Benjamin Franklin: An American Life,£48.19,7,biography
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),£42.57,3,biography
In Her Wake,£12.84,19,thriller
The Elephant Tree,£23.82,18,thriller
Behind Closed Doors,£52.22,18,thriller
You (You #1),£43.61,14,thriller
The Guilty (Will Robie #4),£13.82,14,thriller
The 14th Colony (Cotton Malone #11),£39.24,14,thriller
Give It Back,£18.32,6,thriller
Killing Floor (Jack Reacher #1),£31.49,5,thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),£59.71,4,thriller
Far From True (Promise Falls Trilogy #2),£34.93,4,thriller
The Travelers,£15.77,3,thriller
When We Collided,£31.77,16,contemporary
Someone Like You (The Harrisons #2),£52.79,14,contemporary
We Are All Completely Beside Ourselves,£24.04,3,contemporary
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,18,spirituality
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,16,spirituality
Chasing Heaven: What Dying Taught Me About Living,£37.80,15,spirituality
If I Gave You God's Phone Number....: Searching for Spirituality in America,£20.91,9,spirituality
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,£46.33,7,spirituality
A New Earth: Awakening to Your Life's Purpose,£55.65,4,spirituality
Logan Kade (Fallen Crest High #5.5),£13.12,5,academic
All the Light We Cannot See,£29.87,14,historical
The Girl You Left Behind (The Girl You Left Behind #1),£15.79,6,historical
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,16,christian
Crazy Love: Overwhelmed by a Relentless God,£47.72,14,christian
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,£25.77,7,christian
Silence in the Dark (Logan Point #4),£58.33,8,suspense
Suzie Snowflake: One beautiful flake (a self-esteem story),£54.81,9,novels
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",£49.05,16,health
"Eat Fat, Get Thin",£54.07,14,health
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,£49.71,10,health
The Art and Science of Low Carbohydrate Living,£52.98,9,health
Libertarianism for Beginners,£51.33,19,politics
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,14,politics
Equal Is Unfair: America's Misguided Fight Against Income Inequality,£56.86,12,politics
Amid the Chaos,£36.58,15,cultural
Dark Notes,£19.19,15,erotica
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,15,crime
